"epoch","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy","part","step","time"
1.0,0.5721925133689839,0.5997693372573247,0.6192765567765568,13877.280017094692,0.5718864468864469,0.5644283121597096,"val",62.0,"2022-08-08 18:14:31.272716"
1.0,0.6149732620320856,0.6233439560108356,0.6430288461538463,12851.480080030455,0.6148741418764303,0.6152450090744102,"val",63.0,"2022-08-08 18:14:31.307728"
1.0,0.5614973262032086,0.6239247296054301,0.6289491758241756,14988.155620194508,0.5586576099470413,0.5172413793103449,"val",64.0,"2022-08-08 18:14:31.358850"
1.0,0.5828877005347594,0.6137957812350161,0.6122367216117217,14747.884197117577,0.5794117647058823,0.5317604355716878,"val",65.0,"2022-08-08 18:14:31.410235"
1.0,0.5882352941176471,0.6120643357091475,0.6225389194139195,14176.85579191268,0.5865326633165829,0.5553539019963702,"val",66.0,"2022-08-08 18:14:31.462709"
1.0,0.5668449197860963,0.6125593239825785,0.6186469780219779,14423.692103560501,0.5656026843327884,0.5408348457350273,"val",67.0,"2022-08-08 18:14:31.509564"
1.0,0.5561497326203209,0.6304671621278934,0.624198717948718,14459.511348806125,0.5553359117604928,0.5372050816696915,"val",68.0,"2022-08-08 18:14:31.571352"
1.0,0.5401069518716578,0.5829494535638821,0.581559065934066,15230.943477939956,0.5378735632183909,0.5027223230490018,"val",69.0,"2022-08-08 18:14:31.633799"
1.0,0.5775401069518716,0.6166729160070447,0.6103479853479854,13856.660345570854,0.5771047433658718,0.5662431941923775,"val",70.0,"2022-08-08 18:14:31.688851"
1.0,0.5775401069518716,0.6230927476010775,0.6239697802197803,14031.703862175109,0.5767655063744449,0.558983666061706,"val",71.0,"2022-08-08 18:14:31.744284"
1.0,0.6042780748663101,0.6271204844760238,0.6082303113553111,13947.521018046908,0.6023563218390804,0.5680580762250453,"val",72.0,"2022-08-08 18:14:31.875357"
1.0,0.5561497326203209,0.6392152914035365,0.6216804029304028,14637.59584687601,0.5548768246866844,0.52994555353902,"val",73.0,"2022-08-08 18:14:32.004206"
1.0,0.5935828877005348,0.6421510194361999,0.6284913003663004,14161.424761362416,0.5916091954022988,0.5571687840290381,"val",74.0,"2022-08-08 18:14:32.116616"
1.0,0.5454545454545454,0.6224914687366958,0.6132669413919414,14851.499590191517,0.5441509650405805,0.5190562613430127,"val",75.0,"2022-08-08 18:14:32.229782"
1.0,0.5989304812834224,0.6388163256254169,0.6318681318681316,13603.896375544093,0.5981951009883971,0.5807622504537205,"val",76.0,"2022-08-08 18:14:32.484404"
1.0,0.5828877005347594,0.6428707008062526,0.6297504578754579,14375.328504677924,0.5808620689655173,0.5462794918330308,"val",77.0,"2022-08-08 18:14:32.734080"
1.0,0.5668449197860963,0.6360861838910967,0.6238553113553114,14423.692103560501,0.5656026843327884,0.5408348457350273,"val",78.0,"2022-08-08 18:14:32.942617"
1.0,0.5721925133689839,0.6386517785629274,0.6137248168498166,14406.874490250988,0.5707070707070707,0.542649727767695,"val",79.0,"2022-08-08 18:14:33.152622"
1.0,0.5614973262032086,0.6070156733858176,0.6001316391941391,14803.13599130894,0.559367816091954,0.5245009074410163,"val",80.0,"2022-08-08 18:14:33.193628"
1.0,0.6310160427807486,0.6737238919250976,0.6656364468864469,13321.240818650649,0.6294903086862886,0.5989110707803993,"val",81.0,"2022-08-08 18:14:33.233304"
1.0,0.5614973262032086,0.6318144274315302,0.6162145146520146,14264.647813564807,0.5608820160366552,0.5462794918330308,"val",82.0,"2022-08-08 18:14:33.269138"
1.0,0.5775401069518716,0.6124728040827321,0.6113782051282053,14209.788360244993,0.5763285439788924,0.5517241379310345,"val",83.0,"2022-08-08 18:14:33.305068"
1.0,0.5828877005347594,0.6395001269686008,0.6251430860805862,14192.97074693548,0.5814393939393939,0.5535390199637024,"val",84.0,"2022-08-08 18:14:33.358240"
1.0,0.5668449197860963,0.615765100995862,0.6070856227106226,14070.564088886362,0.5663985343371597,0.5553539019963702,"val",85.0,"2022-08-08 18:14:33.410144"
1.0,0.5935828877005348,0.6386561144907003,0.6355883699633698,13449.472530463676,0.5932921245421245,0.5862068965517241,"val",86.0,"2022-08-08 18:14:33.456593"
1.0,0.5989304812834224,0.640168614416749,0.637706043956044,13603.896375544093,0.5981951009883971,0.5807622504537205,"val",87.0,"2022-08-08 18:14:33.503614"
