"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,3.7250213623046875,8.051132961790428e-05,"train",20.0,"2022-08-13 17:39:30.264165","","","","","","","","","","","","",""
0.0,2.911738395690918,8.204477376749569e-05,"train",40.0,"2022-08-13 17:39:49.258671","","","","","","","","","","","","",""
0.0,2.734595775604248,8.459869891666821e-05,"train",60.0,"2022-08-13 17:40:08.377864","","","","","","","","","","","","",""
0.0,3.195268392562866,8.817038444548287e-05,"train",80.0,"2022-08-13 17:40:27.571505","","","","","","","","","","","","",""
0.0,2.835273027420044,9.275602554436268e-05,"train",100.0,"2022-08-13 17:40:46.530977","","","","","","","","","","","","",""
0.0,"","","train",107.0,"2022-08-13 17:41:20.878106",0.8392927308447937,0.5765031578395386,0.6454461530360899,50035.0,0.45631275368511004,0.5108825639799092,-35588.28824298564,0.5426326129666011,0.5610953186641616,0.5663348192878288,21141.57648597128,0.46657461667444555,0.2957783992542283
0.0,"","","val",107.0,"2022-08-13 17:41:28.606775",0.8367029548989113,0.573114094738103,0.6521508231545403,50035.0,0.4555461473327688,0.5061147695202258,-35529.62695610621,0.5536547433903577,0.5993707770961498,0.6031304516379137,21024.253912212414,0.4664116420750096,0.2922666666666667
1.0,2.905170440673828,9.835073726724344e-05,"train",120.0,"2022-08-13 17:41:43.064257","","","","","","","","","","","","",""
1.0,2.722005605697632,0.00010494855973535973,"train",140.0,"2022-08-13 17:42:02.033023","","","","","","","","","","","","",""
1.0,2.9804584980010986,0.00011254246448612467,"train",160.0,"2022-08-13 17:42:20.983277","","","","","","","","","","","","",""
1.0,2.91188907623291,0.00012112436196034105,"train",180.0,"2022-08-13 17:42:39.935607","","","","","","","","","","","","",""
1.0,2.722869634628296,0.00013068511011976635,"train",200.0,"2022-08-13 17:42:59.181535","","","","","","","","","","","","",""
1.0,"","","train",214.0,"2022-08-13 17:43:40.293582",0.8392927308447937,0.5772112151207237,0.6815552228418608,50035.0,0.45631275368511004,0.5108825639799092,-33726.813523633595,0.5595284872298625,0.5715568339258476,0.589968633053692,17418.627047267182,0.5398734813153259,0.4288187508323345
1.0,"","","val",214.0,"2022-08-13 17:43:48.063379",0.8367029548989113,0.5743828191456736,0.6732961586121431,50035.0,0.4555461473327688,0.5061147695202258,-33282.677789666035,0.5738724727838258,0.5956874126662283,0.6091199844931188,16530.355579332063,0.5565740461089298,0.45493333333333336
2.0,3.335308074951172,0.00014121452418585224,"train",220.0,"2022-08-13 17:43:55.684546","","","","","","","","","","","","",""
2.0,2.8147287368774414,0.0001527013874892838,"train",240.0,"2022-08-13 17:44:14.963318","","","","","","","","","","","","",""
