"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,0.7384523749351501,8.017732001641947e-05,"train",20.0,"2022-08-10 23:08:20.881983","","","","","","","","","","","","",""
0.0,0.7472938895225525,8.070921456070253e-05,"train",40.0,"2022-08-10 23:08:32.142776","","","","","","","","","","","","",""
0.0,0.826206624507904,8.159548714212097e-05,"train",60.0,"2022-08-10 23:08:43.807427","","","","","","","","","","","","",""
0.0,0.7541103959083557,8.283581035678261e-05,"train",80.0,"2022-08-10 23:08:55.439099","","","","","","","","","","","","",""
0.0,0.7455508708953857,8.442972600857619e-05,"train",100.0,"2022-08-10 23:09:06.751083","","","","","","","","","","","","",""
0.0,"","","train",109.0,"2022-08-10 23:09:21.062099",0.835700575815739,0.5445291982996125,0.605765350585346,50035.0,0.45524884985361774,0.5042853833680797,-30968.287318012728,0.5880998080614204,0.6233710808381758,0.6291042311661506,11901.57463602546,0.583825479663072,0.6650227125243349
0.0,"","","val",109.0,"2022-08-10 23:09:24.224934",0.8330804248861912,0.5381460471975961,0.5987290942208976,50035.0,0.4544701986754967,0.49954504094631486,-31028.126242065293,0.5948406676783005,0.6205091880812605,0.6150165929203544,12021.25248413059,0.5930264025257607,0.6518824136152656
1.0,0.7710341811180115,8.637664527844134e-05,"train",120.0,"2022-08-10 23:09:31.613313","","","","","","","","","","","","",""
1.0,0.7278172969818115,8.86758489418841e-05,"train",140.0,"2022-08-10 23:09:42.901478","","","","","","","","","","","","",""
1.0,0.7224228978157043,9.132648763467209e-05,"train",160.0,"2022-08-10 23:09:54.355086","","","","","","","","","","","","",""
1.0,0.7211881875991821,9.43275821666048e-05,"train",180.0,"2022-08-10 23:10:05.563643","","","","","","","","","","","","",""
1.0,0.7135444283485413,9.7678023883241e-05,"train",200.0,"2022-08-10 23:10:17.213890","","","","","","","","","","","","",""
1.0,"","","train",218.0,"2022-08-10 23:10:35.950354",0.835700575815739,0.5683563989100483,0.6425673674223719,50035.0,0.45524884985361774,0.5042853833680797,-33746.654325846466,0.5869481765834933,0.6287574138938978,0.6310464396284827,17458.308651692925,0.563398753894081,0.4382868267358858
1.0,"","","val",218.0,"2022-08-10 23:10:38.957427",0.8330804248861912,0.5599603017849355,0.637531048186786,50035.0,0.4544701986754967,0.49954504094631486,-34099.22980581723,0.5584218512898331,0.6124822699451262,0.6071787426253688,18163.459611634462,0.5292683824883095,0.4002062919030428
2.0,0.7305305004119873,0.00010137657507545495,"train",220.0,"2022-08-10 23:10:41.085407","","","","","","","","","","","","",""
2.0,0.8011156320571899,0.0001054218694366677,"train",240.0,"2022-08-10 23:10:52.485263","","","","","","","","","","","","",""
2.0,0.801543116569519,0.00010981241256758202,"train",260.0,"2022-08-10 23:11:04.075651","","","","","","","","","","","","",""
2.0,0.7879089117050171,0.0001145465825282395,"train",280.0,"2022-08-10 23:11:15.497733","","","","","","","","","","","","",""
2.0,0.7138174176216125,0.00011962263043719182,"train",300.0,"2022-08-10 23:11:26.885343","","","","","","","","","","","","",""
2.0,0.7135103940963745,0.00012503868111756692,"train",320.0,"2022-08-10 23:11:38.263770","","","","","","","","","","","","",""
2.0,"","","train",327.0,"2022-08-10 23:11:51.134175",0.835700575815739,0.5981959382526112,0.6747404899995258,50035.0,0.45524884985361774,0.5042853833680797,-35946.21797474485,0.5581573896353167,0.6334037197331843,0.6365736399823082,21857.4359494897,0.46099789152527626,0.2790395846852693
2.0,"","","val",327.0,"2022-08-10 23:11:54.172442",0.8330804248861912,0.5825623010362544,0.6592978970028145,50035.0,0.4544701986754967,0.49954504094631486,-35971.800289688326,0.5477996965098634,0.6122150946965654,0.612269542772861,21908.60057937665,0.4473094675222335,0.2686952037132542
3.0,0.8064690828323364,0.0001307927337897911,"train",340.0,"2022-08-10 23:12:02.652639","","","","","","","","","","","","",""
3.0,0.7374858856201172,0.00013688266281070916,"train",360.0,"2022-08-10 23:12:13.914571","","","","","","","","","","","","",""
3.0,0.7388870716094971,0.00014330621845883365,"train",380.0,"2022-08-10 23:12:25.015760","","","","","","","","","","","","",""
3.0,0.7479776740074158,0.00015006102776542922,"train",400.0,"2022-08-10 23:12:36.188487","","","","","","","","","","","","",""
3.0,0.6808624267578125,0.0001571445953911267,"train",420.0,"2022-08-10 23:12:47.462316","","","","","","","","","","","","",""
3.0,"","","train",436.0,"2022-08-10 23:13:05.093513",0.835700575815739,0.6617831627857825,0.7062168099802946,50035.0,0.45524884985361774,0.5042853833680797,-31462.64329297315,0.6165067178502879,0.6519371478804932,0.657234409553294,12890.286585946298,0.6164488406118143,0.6170019467878002
3.0,"","","val",436.0,"2022-08-10 23:13:08.219525",0.8330804248861912,0.6500188126141557,0.6961086272561687,50035.0,0.4544701986754967,0.49954504094631486,-31613.806729647793,0.5948406676783005,0.6359915144621857,0.6278484513274336,13192.613459295584,0.594747351910839,0.596183599793708
4.0,0.7228521108627319,0.0001645543045477435,"train",440.0,"2022-08-10 23:13:11.525457","","","","","","","","","","","","",""
4.0,0.7295541167259216,0.00017228741796496898,"train",460.0,"2022-08-10 23:13:23.014953","","","","","","","","","","","","",""
4.0,0.7121412754058838,0.00018034107890155617,"train",480.0,"2022-08-10 23:13:34.649915","","","","","","","","","","","","",""
4.0,0.7919176816940308,0.00018871231220065265,"train",500.0,"2022-08-10 23:13:46.093227","","","","","","","","","","","","",""
