"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,0.7739108800888062,8.017732001641947e-05,"train",20.0,"2022-08-05 00:11:31.374288","","","","","","","","","","","","",""
0.0,0.7175437211990356,8.070921456070253e-05,"train",40.0,"2022-08-05 00:11:36.468470","","","","","","","","","","","","",""
0.0,0.7507545948028564,8.159548714212097e-05,"train",60.0,"2022-08-05 00:11:41.525240","","","","","","","","","","","","",""
0.0,0.7556285858154297,8.283581035678261e-05,"train",80.0,"2022-08-05 00:11:46.607691","","","","","","","","","","","","",""
0.0,0.7559732794761658,8.442972600857619e-05,"train",100.0,"2022-08-05 00:11:51.687040","","","","","","","","","","","","",""
0.0,0.7818244695663452,8.0053640456781e-05,"train",120.0,"2022-08-05 00:14:18.572202","","","","","","","","","","","","",""
0.0,0.7700380682945251,8.042599294580074e-05,"train",140.0,"2022-08-05 00:14:23.764019","","","","","","","","","","","","",""
0.0,0.7113366723060608,8.11528280987503e-05,"train",160.0,"2022-08-05 00:14:28.852600","","","","","","","","","","","","",""
0.0,0.7424811124801636,8.223387741058638e-05,"train",180.0,"2022-08-05 00:14:33.962939","","","","","","","","","","","","",""
0.0,0.8040251135826111,8.366874152363813e-05,"train",200.0,"2022-08-05 00:14:39.012727","","","","","","","","","","","","",""
0.0,"","","train",218.0,"2022-08-05 00:14:51.715635",0.835700575815739,0.5549571349946908,0.6231988310244322,50035.0,0.45524884985361774,0.5042853833680797,-37271.08445297505,0.510556621880998,0.5985773690096482,0.6069153766769875,24507.168905950097,0.33799237611181704,0.17261518494484102
0.0,"","","val",218.0,"2022-08-05 00:14:54.763052",0.8330804248861912,0.5658287273542979,0.6408097367113761,50035.0,0.4544701986754967,0.49954504094631486,-37174.60546282246,0.5144157814871017,0.6282395882983375,0.620842551622419,24314.210925644915,0.3396793587174349,0.17483238782877772
1.0,0.7991912364959717,8.545689037513867e-05,"train",220.0,"2022-08-05 00:14:56.880627","","","","","","","","","","","","",""
