"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,0.7646896839141846,8.017732001641947e-05,"train",20.0,"2022-08-10 00:51:34.330882","","","","","","","","","","","","",""
0.0,0.7715866565704346,8.070921456070253e-05,"train",40.0,"2022-08-10 00:51:53.553598","","","","","","","","","","","","",""
0.0,0.7641832828521729,8.159548714212097e-05,"train",60.0,"2022-08-10 00:52:12.502800","","","","","","","","","","","","",""
0.0,0.7594820261001587,8.283581035678261e-05,"train",80.0,"2022-08-10 00:52:31.189742","","","","","","","","","","","","",""
0.0,0.7451555132865906,8.442972600857619e-05,"train",100.0,"2022-08-10 00:52:49.546987","","","","","","","","","","","","",""
0.0,"","","train",109.0,"2022-08-10 00:53:23.119653",0.835700575815739,0.5612623988843033,0.6132262630989223,50035.0,0.45524884985361774,0.5042853833680797,-34196.312203678455,0.5604606525911708,0.5773097735130699,0.5839115435647931,18357.624407356914,0.5308933554503249,0.3987021414665801
0.0,"","","val",109.0,"2022-08-10 00:53:30.197930",0.8330804248861912,0.5548192104292686,0.6087845669812879,50035.0,0.4544701986754967,0.49954504094631486,-34430.0291672557,0.5477996965098634,0.5924899187031021,0.5850571533923303,18825.058334511403,0.5117790373906126,0.3739040742650851
1.0,0.7207157015800476,8.637664527844134e-05,"train",120.0,"2022-08-10 00:53:42.698137","","","","","","","","","","","","",""
1.0,0.7520370483398438,8.86758489418841e-05,"train",140.0,"2022-08-10 00:54:02.307493","","","","","","","","","","","","",""
1.0,0.7362068891525269,9.132648763467209e-05,"train",160.0,"2022-08-10 00:54:21.596068","","","","","","","","","","","","",""
1.0,0.7064692974090576,9.43275821666048e-05,"train",180.0,"2022-08-10 00:54:40.813674","","","","","","","","","","","","",""
1.0,0.743721067905426,9.7678023883241e-05,"train",200.0,"2022-08-10 00:55:00.020102","","","","","","","","","","","","",""
1.0,"","","train",218.0,"2022-08-10 00:55:42.396096",0.835700575815739,0.644835191031635,0.6874235314824907,50035.0,0.45524884985361774,0.5042853833680797,-31337.577292004557,0.5216890595009597,0.5985391054675917,0.6011351909184719,12640.154584009117,0.43726395401897106,0.7910447761194029
1.0,"","","val",218.0,"2022-08-10 00:55:49.418508",0.8330804248861912,0.6408747028325215,0.6833747309157138,50035.0,0.4544701986754967,0.49954504094631486,-31094.502805953314,0.5250379362670713,0.6029160996610432,0.6070151179941004,12154.005611906625,0.4604535217383343,0.7705002578648789
2.0,0.7858867645263672,0.00010137657507545495,"train",220.0,"2022-08-10 00:55:53.426571","","","","","","","","","","","","",""
2.0,0.7209120392799377,0.0001054218694366677,"train",240.0,"2022-08-10 00:56:12.372672","","","","","","","","","","","","",""
2.0,0.7586603164672852,0.00010981241256758202,"train",260.0,"2022-08-10 00:56:31.030951","","","","","","","","","","","","",""
2.0,0.7840176820755005,0.0001145465825282395,"train",280.0,"2022-08-10 00:56:49.939134","","","","","","","","","","","","",""
2.0,0.750061571598053,0.00011962263043719182,"train",300.0,"2022-08-10 00:57:08.798003","","","","","","","","","","","","",""
2.0,0.7345662117004395,0.00012503868111756692,"train",320.0,"2022-08-10 00:57:27.723944","","","","","","","","","","","","",""
2.0,"","","train",327.0,"2022-08-10 00:57:59.580344",0.835700575815739,0.6838915946139098,0.7305944367409498,50035.0,0.45524884985361774,0.5042853833680797,-30945.146447448184,0.5366602687140115,0.632418306794321,0.636777237210674,11855.29289489637,0.48867750890722583,0.7514600908500974
2.0,"","","val",327.0,"2022-08-10 00:58:06.578647",0.8330804248861912,0.6577928820436649,0.7150024838549416,50035.0,0.4544701986754967,0.49954504094631486,-31143.005239994116,0.511380880121396,0.6368801886797057,0.6370483038348083,12251.01047998823,0.4612623133949426,0.7287261474987107
