"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
6.0,0.8409302830696106,0.00028498428824402723,"train",680.0,"2022-08-11 10:33:49.366818","","","","","","","","","","","","",""
6.0,0.7591009736061096,0.0002967375264925215,"train",700.0,"2022-08-11 10:33:54.138550","","","","","","","","","","","","",""
6.0,0.7247419357299805,0.00030877570160103385,"train",720.0,"2022-08-11 10:33:58.770220","","","","","","","","","","","","",""
6.0,0.7379687428474426,0.00032109419861867214,"train",740.0,"2022-08-11 10:34:03.592375","","","","","","","","","","","","",""
6.0,"","","train",749.0,"2022-08-11 10:34:15.494683",0.9111984282907662,0.8372113543708422,0.8407212370539265,28515.00340400301,0.8086756417284489,0.7727816311887108,-22673.20179315462,0.6357563850687623,0.6902322378715775,0.6896662102104477,16831.400182306235,0.6105055520601289,0.4738314023172193
6.0,"","","val",749.0,"2022-08-11 10:34:19.045687",0.9082426127527217,0.8371900531513279,0.8312710214197214,25653.819853834564,0.8216785353357305,0.8052681091251176,-20554.288818267156,0.6531881804043546,0.6956775097317678,0.6899980616398531,15454.75778269975,0.6348758508121708,0.5184
7.0,0.7730368375778198,0.0003336882951304272,"train",760.0,"2022-08-11 10:34:23.351854","","","","","","","","","","","","",""
7.0,0.7953336834907532,0.0003465531630675576,"train",780.0,"2022-08-11 10:34:27.994807","","","","","","","","","","","","",""
7.0,0.8109477758407593,0.0003596838705584766,"train",800.0,"2022-08-11 10:34:32.773223","","","","","","","","","","","","",""
7.0,0.7339107990264893,0.0003730753838194333,"train",820.0,"2022-08-11 10:34:37.406387","","","","","","","","","","","","",""
7.0,0.7593221664428711,0.00038672256908426055,"train",840.0,"2022-08-11 10:34:42.153228","","","","","","","","","","","","",""
7.0,"","","train",856.0,"2022-08-11 10:34:55.828759",0.9218074656188605,0.8614861423166396,0.863741437964159,28106.070306938687,0.8278900641434094,0.7840229610141115,-20780.954102422766,0.6644400785854617,0.7154314897286624,0.7167223642125143,13455.83789790684,0.6605339542578395,0.6028765481422294
7.0,"","","val",856.0,"2022-08-11 10:34:59.295619",0.9237947122861586,0.8644502962401077,0.856266595857675,27118.6816,0.837947794779478,0.7958607714016933,-20399.285939365713,0.6080870917573873,0.696279302226405,0.6792013956193061,13679.890278731427,0.6056059661967443,0.5712
8.0,0.6806969046592712,0.00040062019457245534,"train",860.0,"2022-08-11 10:35:01.965024","","","","","","","","","","","","",""
8.0,0.6197117567062378,0.00041476293249483216,"train",880.0,"2022-08-11 10:35:06.611989","","","","","","","","","","","","",""
8.0,0.6655474901199341,0.0004291453610959831,"train",900.0,"2022-08-11 10:35:11.357546","","","","","","","","","","","","",""
8.0,0.7469221353530884,0.0004437619667327585,"train",920.0,"2022-08-11 10:35:16.022824","","","","","","","","","","","","",""
8.0,0.944762110710144,0.0004586071459879771,"train",940.0,"2022-08-11 10:35:20.747885","","","","","","","","","","","","",""
8.0,0.7781713604927063,0.0004736752078185497,"train",960.0,"2022-08-11 10:35:25.498546","","","","","","","","","","","","",""
8.0,"","","train",963.0,"2022-08-11 10:35:36.040072",0.8656188605108055,0.8728442854724466,0.882212485004989,22704.245448551144,0.7811696095803758,0.8244439129394882,-17568.228378249223,0.5426326129666011,0.7349567538319035,0.7352312416268278,12432.211307947298,0.450734090019105,0.829005193767479
