"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,1.4145257472991943,8.017732001641947e-05,"train",20.0,"2022-08-05 16:06:52.383337","","","","","","","","","","","","",""
0.0,0.8008013963699341,8.070921456070253e-05,"train",40.0,"2022-08-05 16:06:57.083435","","","","","","","","","","","","",""
0.0,1.3665990829467773,8.159548714212097e-05,"train",60.0,"2022-08-05 16:07:02.005327","","","","","","","","","","","","",""
0.0,1.369654655456543,8.283581035678261e-05,"train",80.0,"2022-08-05 16:07:06.793455","","","","","","","","","","","","",""
0.0,1.657594919204712,8.442972600857619e-05,"train",100.0,"2022-08-05 16:07:11.587915","","","","","","","","","","","","",""
0.0,"","","train",109.0,"2022-08-05 16:07:21.406661",0.835700575815739,0.4885681428601085,0.45459004288676386,50035.0,0.45524884985361774,0.5042853833680797,-31504.16220281559,0.4944337811900192,0.5072369005451335,0.5082876308418102,12973.324405631178,0.41763342012514115,0.7470473718364699
0.0,"","","val",109.0,"2022-08-05 16:07:24.226744",0.8330804248861912,0.5042476252785981,0.4724292101341284,50035.0,0.4544701986754967,0.49954504094631486,-31305.966740299984,0.5128983308042488,0.54717762183189,0.5535859144542775,12576.933480599968,0.43551214826081736,0.774626095925735
1.0,1.2875874042510986,8.637664527844134e-05,"train",120.0,"2022-08-05 16:07:28.575382","","","","","","","","","","","","",""
1.0,1.3078712224960327,8.86758489418841e-05,"train",140.0,"2022-08-05 16:07:33.351905","","","","","","","","","","","","",""
1.0,1.1535465717315674,9.132648763467209e-05,"train",160.0,"2022-08-05 16:07:38.292030","","","","","","","","","","","","",""
1.0,1.5813428163528442,9.43275821666048e-05,"train",180.0,"2022-08-05 16:07:43.087515","","","","","","","","","","","","",""
